Date	Confirmed cases	Deaths
23.01.2020	0	0
24.01.2020	0	0
25.01.2020	0	0
26.01.2020	4	0
27.01.2020	1	0
28.01.2020	0	0
29.01.2020	1	0
30.01.2020	3	0
31.01.2020	2	0
1.02.2020	3	0
2.02.2020	2	0
3.02.2020	0	0
4.02.2020	1	0
5.02.2020	0	0
6.02.2020	1	0
7.02.2020	1	0
8.02.2020	0	0
9.02.2020	0	0
10.02.2020	0	0
11.02.2020	0	0
12.02.2020	0	0
13.02.2020	0	0
14.02.2020	0	0
15.02.2020	0	0
16.02.2020	0	0
17.02.2020	0	0
18.02.2020	0	0
19.02.2020	0	0
20.02.2020	0	0
21.02.2020	0	0
22.02.2020	0	0
23.02.2020	0	0
24.02.2020	0	0
25.02.2020	0	0
26.02.2020	0	0
27.02.2020	0	0
28.02.2020	0	0
29.02.2020	10	0
1.03.2020	2	1
2.03.2020	3	0
3.03.2020	9	0
4.03.2020	13	1
5.03.2020	3	0
6.03.2020	7	0
7.03.2020	3	0
8.03.2020	13	1
9.03.2020	15	0
10.03.2020	16	0
11.03.2020	21	0
12.03.2020	0	0
13.03.2020	72	0
14.03.2020	50	0
15.03.2020	47	0
16.03.2020	80	0
17.03.2020	75	2
18.03.2020	116	1
19.03.2020	113	0
20.03.2020	110	1
21.03.2020	280	0
22.03.2020	478	0
23.03.2020	133	0
24.03.2020	362	1
25.03.2020	320	0
26.03.2020	446	5
27.03.2020	333	0
28.03.2020	497	1
29.03.2020	344	2
30.03.2020	377	1
31.03.2020	198	1
1.04.2020	303	2
2.04.2020	254	4
3.04.2020	214	4
4.04.2020	220	2
5.04.2020	137	5
6.04.2020	110	5
7.04.2020	98	5
8.04.2020	115	5
9.04.2020	98	1
10.04.2020	107	3
11.04.2020	88	3
12.04.2020	12	3
13.04.2020	38	1
14.04.2020	64	1
15.04.2020	25	1
16.04.2020	22	0
17.04.2020	60	3
18.04.2020	46	1
19.04.2020	42	0
20.04.2020	13	0
21.04.2020	22	0
22.04.2020	7	0
23.04.2020	10	8
24.04.2020	15	4
25.04.2020	17	1
26.04.2020	20	3
27.04.2020	7	0
28.04.2020	23	6
29.04.2020	10	2
30.04.2020	14	2
