Date	Confirmed cases	Deaths
23.01.2020	0	0
24.01.2020	0	0
25.01.2020	0	0
26.01.2020	0	0
27.01.2020	1	0
28.01.2020	3	0
29.01.2020	0	0
30.01.2020	0	0
31.01.2020	1	0
1.02.2020	3	0
2.02.2020	2	0
3.02.2020	2	0
4.02.2020	0	0
5.02.2020	0	0
6.02.2020	0	0
7.02.2020	1	0
8.02.2020	0	0
9.02.2020	1	0
10.02.2020	0	0
11.02.2020	2	0
12.02.2020	0	0
13.02.2020	0	0
14.02.2020	0	0
15.02.2020	0	0
16.02.2020	0	0
17.02.2020	0	0
18.02.2020	0	0
19.02.2020	0	0
20.02.2020	0	0
21.02.2020	0	0
22.02.2020	0	0
23.02.2020	0	0
24.02.2020	0	0
25.02.2020	1	0
26.02.2020	10	0
27.02.2020	19	0
28.02.2020	2	0
29.02.2020	31	0
1.03.2020	51	0
2.03.2020	29	0
3.03.2020	37	0
4.03.2020	66	0
5.03.2020	220	0
6.03.2020	188	0
7.03.2020	129	0
8.03.2020	241	0
9.03.2020	136	2
10.03.2020	281	0
11.03.2020	451	1
12.03.2020	170	0
13.03.2020	1597	4
14.03.2020	910	2
15.03.2020	1210	2
16.03.2020	1477	6
17.03.2020	1985	7
18.03.2020	3070	4
19.03.2020	2993	16
20.03.2020	4528	23
21.03.2020	2365	17
22.03.2020	2660	10
23.03.2020	4183	29
24.03.2020	3930	34
25.03.2020	4337	49
26.03.2020	6615	61
27.03.2020	6933	75
28.03.2020	6824	91
29.03.2020	4400	100
30.03.2020	4790	112
31.03.2020	4923	130
1.04.2020	6064	145
2.04.2020	6922	187
3.04.2020	6365	168
4.04.2020	4933	169
5.04.2020	4031	140
6.04.2020	3251	226
7.04.2020	4289	206
8.04.2020	5633	333
9.04.2020	4885	258
10.04.2020	3990	160
11.04.2020	2737	31
12.04.2020	2946	286
13.04.2020	2218	172
14.04.2020	1287	100
15.04.2020	3394	510
16.04.2020	2945	248
17.04.2020	3699	300
18.04.2020	1945	107
19.04.2020	1842	127
20.04.2020	1881	276
21.04.2020	1226	171
22.04.2020	2357	246
23.04.2020	2481	296
24.04.2020	1870	185
25.04.2020	1514	117
26.04.2020	1257	99
