Date	Confirmed cases	Deaths
23.01.2020	0	0
24.01.2020	0	0
25.01.2020	0	0
26.01.2020	0	0
27.01.2020	0	0
28.01.2020	0	0
29.01.2020	0	0
30.01.2020	0	0
31.01.2020	0	0
1.02.2020	0	0
2.02.2020	0	0
3.02.2020	0	0
4.02.2020	0	0
5.02.2020	0	0
6.02.2020	0	0
7.02.2020	0	0
8.02.2020	0	0
9.02.2020	0	0
10.02.2020	0	0
11.02.2020	0	0
12.02.2020	0	0
13.02.2020	0	0
14.02.2020	0	0
15.02.2020	0	0
16.02.2020	0	0
17.02.2020	0	0
18.02.2020	0	0
19.02.2020	0	0
20.02.2020	0	0
21.02.2020	0	0
22.02.2020	0	0
23.02.2020	0	0
24.02.2020	0	0
25.02.2020	0	0
26.02.2020	0	0
27.02.2020	0	0
28.02.2020	0	0
29.02.2020	0	0
1.03.2020	0	0
2.03.2020	0	0
3.03.2020	0	0
4.03.2020	1	0
5.03.2020	0	0
6.03.2020	4	0
7.03.2020	0	0
8.03.2020	6	0
9.03.2020	5	0
10.03.2020	6	0
11.03.2020	9	0
12.03.2020	18	1
13.03.2020	19	1
14.03.2020	35	1
15.03.2020	16	0
16.03.2020	58	1
17.03.2020	61	1
18.03.2020	13	0
19.03.2020	104	0
20.03.2020	70	0
21.03.2020	111	0
22.03.2020	98	2
23.03.2020	115	1
24.03.2020	152	2
25.03.2020	150	4
26.03.2020	170	2
27.03.2020	168	0
28.03.2020	249	2
29.03.2020	224	4
30.03.2020	193	9
31.03.2020	256	2
1.04.2020	243	10
2.04.2020	392	14
3.04.2020	437	14
4.04.2020	244	8
5.04.2020	475	15
6.04.2020	311	13
7.04.2020	435	22
8.04.2020	357	30
9.04.2020	370	15
10.04.2020	380	7
11.04.2020	401	27
12.04.2020	318	24
13.04.2020	260	13
14.04.2020	268	18
15.04.2020	380	23
16.04.2020	336	28
17.04.2020	461	18
18.04.2020	363	15
19.04.2020	545	13
20.04.2020	306	20
21.04.2020	263	21
22.04.2020	313	25
23.04.2020	342	28
24.04.2020	381	40
25.04.2020	381	30
26.04.2020	344	11
27.04.2020	285	27
28.04.2020	316	34
29.04.2020	422	28
30.04.2020	237	20
